Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C2, C20, C21, C22, C24, C26, C27, C28, C29, C3, C33, C34, C35, C36, C4, C6, C7",0402,19,100n,C307331
"C10, C11",0402,2,22n,C1532
C14,0805,1,22u,C45783
"C15, C5",0603,2,1u,C15849
"C16, C17",0402,2,18p,C1549
C18,0402,1,2.2u,C12530
C23,0402,1,10n,C15195
C30,CP_Elec_5x5.7,1,47u,C7471868
"C37, C38",0603,2,22u,C59461
C8,0402,1,220n,C16772 
C9,0805,1,2.2u,C377773
"D1, D3",D_SOD-323,2,36V,C92677
D4,0603,1,LED,C2286
D5,0603,1,WHITE,C2290
D6,D_SOD-523,1,RB521S30T1G,C145179
D7,0603,1,GREEN,C2297
J2,CONN-SMD_5P-P1.00_MEGASTAR_ZX-SH1.0-5PWT,1,Encoder,C7430447
"J3, J4",CONN-SMD_AFC10-S03QCA-00,2,CAN,C2764182
J6,CONN-SMD_8P-P1.00_MEGASTAR_ZX-SH1.0-8PWT,1,GPIO,C7430450
JP1,SolderJumper-3_P1.3mm_Bridged2Bar12_Pad1.0x1.5mm,1,*,
L1,0603,1,27n,C280267
L2,0805,1,10u,C285963
"R1, R25, R3",0402,3,100k,C25741
"R11, R16",0402,2,22,C25092
"R12, R13",0805,2,10m,C601083
"R14, R15, R19, R20, R21, R22, R24, R30",0402,8,5.1k,C25905
"R17, R6, R8",0402,3,1k5,C25867
R18,0402,1,4.7k,C25900
R2,0603,1,120,C22787
"R26, R5",0402,2,10k,C25744
"R4, R7",0402,2,20k,C25765
"SW1, SW2",SW-TH_PANASONIC_EVPAKE31A,2,SW_SPST,C569760
U1,VQFN-12_L3.0-W2.0-P0.65-BL_TI_RNX,1,LMR36015SFBRNXR,C3187929
U12,HVSON-8_L3.0-W3.0-P0.65-BL-EP,1,"TJA1051TK/3,118",C124020
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P332MR,C5446
U3,HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP,1,DRV8313PWP,C92482
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,C8304
U5,TSSOP-14_4.4x5mm_P0.65mm,1,AS5047D,C962063
"U7, U8",SOIC-8_3.9x4.9mm_P1.27mm,2,INA240A2D,C2060768
USB2,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322516MLB4SI,C13738
